iter	Passed	Remaining
178	1225	5620
179	1231	5611
180	1238	5604
181	1244	5595
182	1251	5585
183	1257	5577
184	1264	5569
185	1270	5559
186	1277	5553
187	1284	5545
188	1290	5538
189	1297	5529
190	1303	5520
191	1309	5512
192	1316	5505
193	1323	5498
194	1330	5490
195	1336	5482
196	1343	5476
197	1350	5468
198	1357	5462
199	1363	5453
200	1370	5446
201	1376	5438
202	1382	5429
203	1389	5423
204	1396	5414
205	1402	5407
206	1410	5401
207	1416	5392
208	1422	5385
209	1429	5377
210	1436	5372
211	1443	5365
212	1449	5356
213	1456	5349
214	1462	5341
215	1469	5335
216	1476	5326
217	1482	5317
218	1489	5311
219	1495	5302
220	1502	5294
221	1508	5286
222	1514	5277
223	1521	5270
224	1527	5262
225	1534	5256
226	1541	5248
227	1547	5239
228	1555	5236
229	1561	5228
230	1569	5223
231	1575	5216
232	1582	5209
233	1589	5203
234	1596	5198
235	1604	5193
236	1610	5185
237	1617	5179
238	1624	5172
239	1631	5165
240	1638	5159
241	1644	5151
242	1651	5144
243	1658	5137
244	1664	5130
245	1671	5122
246	1677	5114
247	1684	5108
248	1690	5100
249	1697	5093
250	1704	5085
251	1711	5079
252	1718	5074
253	1726	5069
254	1732	5062
255	1739	5056
256	1746	5049
257	1753	5043
258	1760	5036
259	1767	5029
260	1773	5021
261	1780	5016
262	1787	5008
263	1794	5002
264	1800	4994
265	1806	4985
266	1814	4980
267	1820	4972
268	1827	4965
269	1834	4959
270	1840	4951
271	1847	4945
272	1854	4937
273	1861	4932
274	1868	4925
275	1874	4916
276	1881	4910
277	1888	4904
278	1895	4897
279	1901	4890
280	1909	4884
281	1916	4879
282	1923	4874
283	1930	4867
284	1937	4860
285	1944	4853
286	1950	4845
287	1956	4837
288	1963	4829
289	1969	4821
290	1976	4816
291	1982	4807
292	1989	4800
293	1995	4793
294	2002	4786
295	2009	4780
296	2017	4775
297	2024	4769
298	2031	4762
299	2038	4755
300	2045	4749
301	2052	4743
302	2059	4738
303	2066	4730
304	2073	4724
305	2079	4717
306	2086	4710
307	2093	4703
308	2100	4696
309	2107	4689
310	2113	4683
311	2120	4676
312	2127	4668
313	2133	4661
314	2140	4654
315	2147	4648
316	2154	4641
317	2160	4634
318	2166	4626
319	2173	4619
320	2180	4612
321	2187	4606
322	2194	4599
323	2201	4592
324	2207	4585
325	2214	4578
326	2221	4571
327	2228	4565
328	2235	4558
329	2241	4551
330	2248	4543
331	2254	4536
332	2260	4528
333	2268	4522
334	2275	4516
335	2281	4509
336	2288	4501
337	2294	4493
338	2301	4487
339	2307	4479
340	2315	4474
341	2322	4467
342	2328	4460
343	2335	4454
344	2342	4446
345	2349	4440
346	2355	4433
347	2363	4427
348	2370	4421
349	2376	4413
350	2387	4414
351	2393	4406
352	2401	4400
353	2407	4393
354	2414	4386
355	2420	4378
356	2427	4371
357	2434	4364
358	2440	4357
359	2447	4350
360	2453	4343
361	2460	4336
362	2467	4329
363	2473	4321
364	2480	4316
365	2487	4308
366	2493	4300
367	2499	4292
368	2506	4286
369	2513	4279
370	2520	4272
371	2527	4267
372	2534	4260
373	2540	4252
374	2548	4246
375	2555	4240
376	2562	4234
377	2568	4226
378	2575	4220
379	2582	4213
380	2588	4206
381	2596	4200
382	2602	4192
383	2609	4186
384	2616	4179
385	2622	4172
386	2629	4165
387	2636	4158
388	2644	4154
389	2651	4147
390	2658	4140
391	2664	4133
392	2671	4126
393	2678	4119
394	2685	4112
395	2692	4106
396	2699	4100
397	2706	4093
398	2712	4086
399	2720	4080
400	2727	4073
401	2733	4065
402	2740	4060
403	2747	4053
404	2755	4048
405	2762	4041
406	2768	4034
407	2775	4026
408	2781	4019
409	2789	4013
410	2796	4007
411	2802	3999
412	2809	3992
413	2815	3985
414	2822	3978
415	2829	3971
416	2836	3965
417	2842	3957
418	2849	3951
419	2856	3944
420	2862	3936
421	2869	3930
422	2875	3922
423	2882	3916
424	2889	3909
425	2896	3902
426	2903	3895
427	2909	3888
428	2917	3882
429	2924	3876
430	2930	3869
431	2937	3861
432	2943	3854
433	2950	3848
434	2957	3841
435	2964	3834
436	2971	3828
437	2977	3820
438	2985	3814
439	2991	3807
440	2998	3800
441	3005	3794
442	3011	3786
443	3018	3780
444	3024	3772
445	3031	3765
446	3038	3758
447	3044	3751
448	3051	3744
449	3057	3737
450	3064	3730
451	3070	3723
452	3077	3716
453	3084	3709
454	3090	3702
455	3097	3695
456	3103	3687
457	3110	3680
458	3116	3673
459	3122	3665
460	3129	3659
461	3136	3652
462	3142	3645
463	3149	3638
464	3156	3631
465	3163	3625
466	3169	3617
467	3176	3611
468	3183	3604
469	3189	3596
470	3197	3590
471	3203	3583
472	3210	3576
473	3217	3570
474	3223	3563
475	3230	3556
476	3237	3549
477	3248	3547
478	3255	3540
479	3262	3534
480	3269	3527
481	3276	3521
482	3283	3514
483	3290	3507
484	3296	3500
485	3303	3493
486	3310	3487
487	3317	3480
488	3325	3475
489	3332	3468
490	3339	3461
491	3345	3454
492	3352	3447
493	3359	3440
494	3365	3433
495	3371	3426
496	3378	3419
497	3385	3412
498	3392	3406
499	3399	3399
500	3406	3392
501	3413	3385
502	3420	3379
503	3426	3372
504	3433	3365
505	3440	3358
506	3446	3351
507	3454	3345
508	3460	3337
509	3466	3330
510	3473	3323
511	3479	3316
512	3486	3309
513	3492	3302
514	3498	3294
515	3505	3288
516	3511	3280
517	3518	3273
518	3524	3266
519	3531	3259
520	3538	3252
521	3544	3245
522	3551	3238
523	3557	3231
524	3563	3223
525	3570	3217
526	3576	3210
527	3583	3203
528	3590	3197
529	3597	3190
530	3604	3183
531	3610	3176
532	3617	3169
533	3624	3162
534	3630	3155
535	3638	3149
536	3644	3141
537	3651	3135
538	3658	3129
539	3665	3122
540	3671	3115
541	3677	3107
542	3684	3100
543	3690	3093
544	3696	3086
545	3703	3079
546	3709	3072
547	3715	3064
548	3722	3058
549	3728	3050
550	3735	3044
551	3742	3037
552	3748	3029
553	3755	3023
554	3761	3016
555	3768	3009
556	3774	3002
557	3780	2994
558	3787	2988
559	3794	2981
560	3800	2974
561	3807	2967
562	3814	2960
563	3820	2953
564	3826	2946
565	3833	2939
566	3841	2933
567	3847	2926
568	3854	2919
569	3862	2913
570	3868	2906
571	3875	2900
572	3883	2893
573	3889	2886
574	3896	2879
575	3902	2872
576	3908	2865
577	3915	2858
578	3921	2851
579	3928	2844
580	3935	2838
581	3942	2831
582	3949	2824
583	3955	2817
584	3962	2810
585	3969	2804
586	3975	2797
587	3982	2790
588	3988	2783
589	3995	2776
590	4001	2769
591	4008	2762
592	4014	2755
593	4020	2748
594	4027	2741
595	4034	2734
596	4040	2727
597	4047	2720
598	4053	2713
599	4060	2707
600	4066	2700
601	4073	2693
602	4080	2686
603	4087	2679
604	4094	2673
605	4100	2666
606	4106	2658
607	4114	2652
608	4120	2645
609	4128	2639
610	4135	2632
611	4142	2626
612	4148	2619
613	4155	2612
614	4162	2605
615	4168	2598
616	4175	2592
617	4182	2585
618	4189	2578
619	4196	2571
620	4202	2564
621	4210	2558
622	4216	2551
623	4223	2544
624	4229	2537
625	4236	2530
626	4243	2524
627	4249	2517
628	4256	2510
629	4263	2504
630	4270	2497
631	4276	2490
632	4283	2483
633	4289	2476
634	4296	2469
635	4302	2462
636	4309	2455
637	4315	2448
638	4322	2441
639	4328	2435
640	4335	2427
641	4342	2421
642	4348	2414
643	4355	2407
644	4362	2401
645	4369	2394
646	4376	2387
647	4383	2380
648	4390	2374
649	4396	2367
650	4402	2360
651	4409	2353
652	4416	2346
653	4423	2340
654	4430	2333
655	4437	2326
656	4443	2319
657	4451	2313
658	4457	2306
659	4464	2299
660	4471	2293
661	4477	2286
662	4485	2279
663	4491	2273
664	4498	2266
665	4504	2259
666	4512	2252
667	4519	2246
668	4526	2239
669	4534	2233
670	4540	2226
671	4547	2219
672	4554	2212
673	4561	2206
674	4568	2199
675	4575	2193
676	4583	2186
677	4590	2180
678	4597	2173
679	4604	2166
680	4612	2160
681	4619	2153
682	4626	2147
683	4633	2140
684	4641	2134
685	4649	2128
686	4655	2121
687	4662	2114
688	4669	2107
689	4676	2100
690	4682	2093
691	4688	2086
692	4695	2080
693	4701	2073
694	4708	2066
695	4714	2059
696	4721	2052
697	4728	2045
698	4735	2039
699	4740	2031
700	4747	2025
701	4753	2017
702	4760	2011
703	4767	2004
704	4773	1997
705	4780	1990
706	4787	1983
707	4793	1977
708	4800	1970
709	4806	1963
710	4813	1956
711	4820	1949
712	4827	1943
713	4834	1936
714	4842	1930
715	4848	1923
716	4855	1916
717	4862	1909
718	4869	1903
719	4876	1896
720	4883	1889
721	4890	1882
722	4897	1876
723	4904	1869
724	4911	1862
725	4917	1855
726	4923	1849
727	4931	1842
728	4938	1835
729	4944	1828
730	4951	1822
731	4957	1815
732	4964	1808
733	4971	1801
734	4978	1794
735	4984	1788
736	4991	1781
737	4998	1774
738	5004	1767
739	5011	1760
740	5018	1753
741	5024	1747
742	5031	1740
743	5037	1733
744	5044	1726
745	5050	1719
746	5057	1712
747	5063	1705
748	5069	1699
749	5076	1692
750	5082	1685
751	5089	1678
752	5095	1671
753	5102	1664
754	5110	1658
755	5116	1651
756	5124	1644
757	5130	1637
758	5137	1631
759	5144	1624
760	5150	1617
761	5157	1610
762	5164	1604
763	5170	1597
764	5177	1590
765	5183	1583
766	5190	1576
767	5197	1569
768	5203	1563
769	5209	1556
770	5216	1549
771	5223	1542
772	5230	1535
773	5237	1529
774	5244	1522
775	5250	1515
776	5257	1508
777	5264	1502
778	5271	1495
779	5278	1488
780	5284	1481
781	5290	1474
782	5297	1468
783	5303	1461
784	5310	1454
785	5316	1447
786	5323	1440
787	5329	1433
788	5336	1427
789	5343	1420
790	5350	1413
791	5356	1406
792	5363	1400
793	5370	1393
794	5376	1386
795	5383	1379
796	5390	1373
797	5397	1366
798	5404	1359
799	5410	1352
800	5416	1345
801	5423	1339
802	5430	1332
803	5438	1325
804	5445	1319
805	5452	1312
806	5458	1305
807	5465	1298
808	5471	1291
809	5478	1284
810	5485	1278
811	5491	1271
812	5498	1264
813	5505	1257
814	5511	1251
815	5518	1244
816	5524	1237
817	5531	1230
818	5538	1223
819	5544	1217
820	5551	1210
821	5558	1203
822	5565	1196
823	5571	1190
824	5577	1183
825	5585	1176
826	5591	1169
827	5598	1163
828	5605	1156
829	5612	1149
830	5619	1142
831	5625	1135
832	5632	1129
833	5639	1122
834	5645	1115
835	5652	1108
836	5659	1102
837	5666	1095
838	5672	1088
839	5679	1081
840	5685	1074
841	5693	1068
842	5699	1061
843	5706	1054
844	5713	1048
845	5721	1041
846	5728	1034
847	5735	1028
848	5742	1021
849	5749	1014
850	5755	1007
851	5762	1001
852	5768	994
853	5776	987
854	5783	980
855	5790	974
856	5796	967
857	5805	960
858	5811	953
859	5818	947
860	5826	940
861	5832	933
862	5839	927
863	5847	920
864	5854	913
865	5860	906
866	5866	900
867	5873	893
868	5880	886
869	5887	879
870	5894	873
871	5900	866
872	5907	859
873	5913	852
874	5920	845
875	5926	838
876	5932	832
877	5939	825
878	5945	818
879	5952	811
880	5958	804
881	5964	798
882	5971	791
883	5978	784
884	5985	777
885	5992	770
886	5998	764
887	6005	757
888	6011	750
889	6018	743
890	6024	737
891	6031	730
892	6038	723
893	6044	716
894	6051	709
895	6057	703
896	6065	696
897	6072	689
898	6078	682
899	6085	676
900	6091	669
901	6098	662
902	6105	655
903	6111	648
904	6118	642
905	6124	635
906	6130	628
907	6137	621
908	6143	615
909	6151	608
910	6157	601
911	6164	594
912	6170	587
913	6177	581
914	6184	574
915	6190	567
916	6197	560
917	6203	554
918	6210	547
919	6216	540
920	6223	533
921	6231	527
922	6238	520
923	6244	513
924	6251	506
925	6257	500
926	6264	493
927	6270	486
928	6277	479
929	6284	473
930	6290	466
931	6297	459
932	6303	452
933	6310	445
934	6317	439
935	6324	432
936	6331	425
937	6337	418
938	6344	412
939	6351	405
940	6357	398
941	6364	391
942	6370	385
943	6377	378
944	6384	371
945	6390	364
946	6397	358
947	6404	351
948	6411	344
949	6417	337
950	6425	331
951	6431	324
952	6438	317
953	6445	310
954	6451	304
955	6458	297
956	6465	290
957	6472	283
958	6478	276
959	6485	270
960	6492	263
961	6499	256
962	6506	250
963	6513	243
964	6520	236
965	6527	229
966	6533	222
967	6541	216
968	6547	209
969	6554	202
970	6560	195
971	6567	189
972	6574	182
973	6581	175
974	6588	168
975	6594	162
976	6600	155
977	6607	148
978	6613	141
979	6620	135
980	6627	128
981	6634	121
982	6640	114
983	6647	108
984	6654	101
985	6661	94
986	6668	87
987	6675	81
988	6682	74
989	6689	67
990	6695	60
991	6702	54
992	6708	47
993	6714	40
994	6721	33
995	6728	27
996	6734	20
997	6741	13
998	6747	6
999	6754	0
