iter	Logloss
0	0.6694524975
1	0.6549502433
2	0.6387972501
3	0.6238040974
4	0.6101135376
5	0.5955524534
6	0.580708152
7	0.567905752
8	0.5608538173
9	0.5511260704
10	0.5387100603
11	0.5258477073
12	0.5144742998
13	0.5030021217
14	0.4917090947
15	0.486544859
16	0.4811142837
17	0.4749964776
18	0.4690193339
19	0.4635263744
20	0.4587659074
21	0.4518751116
22	0.4480037118
23	0.4437315976
24	0.4372408829
25	0.4297629551
26	0.4261273107
27	0.4215160985
28	0.4172504245
29	0.4149034503
30	0.4068228613
31	0.4032486919
32	0.40107427
33	0.3982045788
34	0.3927901418
35	0.3899357896
36	0.3849130678
37	0.3811996641
38	0.3787001324
39	0.3759364719
40	0.3721960523
41	0.3693887244
42	0.3668872523
43	0.3647872493
44	0.3612654273
45	0.3590861766
46	0.3559272064
47	0.3536369951
48	0.3517855801
49	0.3494013955
50	0.3447729276
51	0.3404984658
52	0.3389285196
53	0.3372905573
54	0.3334265904
55	0.3311115042
56	0.3275734602
57	0.3262451761
58	0.3236442603
59	0.3212632512
60	0.32011876
61	0.3187876742
62	0.3172185232
63	0.3153157101
64	0.3138809621
65	0.3129259132
66	0.3094889157
67	0.3076852752
68	0.30628693
69	0.3044441758
70	0.3005591939
71	0.2979414517
72	0.2967055357
73	0.2956839288
74	0.2938375084
75	0.2924092499
76	0.2913947167
77	0.289482453
78	0.2884471304
79	0.2861926689
80	0.2852217064
81	0.2838252807
82	0.2826132872
83	0.2810182624
84	0.2800923253
85	0.2792431645
86	0.2772994465
87	0.2760725722
88	0.2750252116
89	0.2733284622
90	0.2710087016
91	0.2697679039
92	0.2688144095
93	0.2676973588
94	0.2663658152
95	0.2652535481
96	0.2638750666
97	0.2628876616
98	0.2619792169
99	0.2613483137
100	0.2607274371
101	0.259444587
102	0.2587289016
103	0.2577235668
104	0.2569015903
105	0.2543612488
106	0.2526119195
107	0.2516126106
108	0.250555385
109	0.249814947
110	0.2488348613
111	0.2475944244
112	0.2464553348
113	0.2456526673
114	0.2449546001
115	0.2435364229
116	0.2425660179
117	0.2417597861
118	0.2403743215
119	0.2395434074
120	0.2389222563
121	0.2382542575
122	0.2374119556
123	0.2365122337
124	0.2359777609
125	0.2348583822
126	0.2346773494
127	0.2331246427
128	0.2320352892
129	0.2309422266
130	0.2298428265
131	0.2291578971
132	0.2279060346
133	0.2266952107
134	0.2259375355
135	0.2245826671
136	0.2239795994
137	0.2231844624
138	0.2219808297
139	0.2210126005
140	0.2201486001
141	0.2196833319
142	0.2193179194
143	0.2186190896
144	0.2178817112
145	0.216324111
146	0.2147519662
147	0.2141276943
148	0.2131448704
149	0.2124741202
150	0.2114065003
151	0.2104699981
152	0.2091577612
153	0.208519156
154	0.2077822323
155	0.207019343
156	0.2064021816
157	0.205523473
158	0.2046596723
159	0.2037584953
160	0.2032446213
161	0.2027029448
162	0.2020510663
163	0.2008243409
164	0.200265997
165	0.2000089213
166	0.199464454
167	0.1988537108
168	0.1974903092
169	0.1963995459
170	0.1954241107
171	0.1947616654
172	0.1942287057
173	0.1934323859
174	0.1930141739
175	0.1924526929
176	0.1916382431
177	0.191345856
178	0.190621176
179	0.1899919204
180	0.1895766024
181	0.188952311
182	0.1884346484
183	0.1876614031
184	0.1869375305
185	0.1863811529
186	0.1858783959
187	0.1849015937
188	0.1832299148
189	0.1826447588
190	0.1821750327
191	0.1817158901
192	0.181263855
193	0.1809466837
194	0.1804402666
195	0.1798326404
196	0.1793119105
197	0.1785943456
198	0.1780118652
199	0.1766751553
200	0.1755232538
201	0.1750859148
202	0.1744719513
203	0.1739063375
204	0.1736882497
205	0.1733017499
206	0.1728118458
207	0.1726150211
208	0.1723315389
209	0.1718291185
210	0.1712901252
211	0.1707650978
212	0.1703621835
213	0.1699720414
214	0.1691628727
215	0.168639287
216	0.1680306203
217	0.1676390678
218	0.1673277697
219	0.1670002346
220	0.1665864831
221	0.1653402952
222	0.1646509737
223	0.164215846
224	0.1638983337
225	0.1634856998
226	0.1631230166
227	0.1626788498
228	0.1617998265
229	0.1612880884
230	0.1609168015
231	0.1605064866
232	0.1601340854
233	0.1598155245
234	0.1594825625
235	0.1590718168
236	0.1588616878
237	0.15842908
238	0.1577784155
239	0.1572105289
240	0.1570037931
241	0.1559949966
242	0.1556862249
243	0.1551694863
244	0.1544411307
245	0.153936554
246	0.1530898153
247	0.1524507917
248	0.1518738284
249	0.1511697972
250	0.1499378813
251	0.149357359
252	0.1490216686
253	0.1485319324
254	0.1481785631
255	0.1477550551
256	0.1470330823
257	0.1464728335
258	0.1461054123
259	0.1454427072
260	0.1452054399
261	0.1448948854
262	0.1447254989
263	0.1439546178
264	0.1435220625
265	0.1429624871
266	0.1425783716
267	0.1422997067
268	0.1415704364
269	0.1411583415
270	0.1407092006
271	0.1405115094
272	0.1402355846
273	0.1397310417
274	0.1393006205
275	0.1391513837
276	0.1387643899
277	0.1383747494
278	0.1380977701
279	0.1376154068
280	0.1372322697
281	0.1368994212
282	0.136577854
283	0.1361317489
284	0.1358086155
285	0.1357087881
286	0.1355542741
287	0.1347263523
288	0.1341675606
289	0.1338982513
290	0.1335251759
291	0.1331700709
292	0.132893203
293	0.132637216
294	0.132249688
295	0.1315886772
296	0.1309974042
297	0.1302483491
298	0.1297218373
299	0.1293826635
300	0.1290025349
301	0.1288540416
302	0.1284992009
303	0.128088561
304	0.1279233885
305	0.1275246329
306	0.1272137878
307	0.1267490345
308	0.1263225819
309	0.1259692513
310	0.1258780471
311	0.1255432421
312	0.1252123306
313	0.1249926573
314	0.1247127771
315	0.1240679627
316	0.1237981799
317	0.1236197848
318	0.1230718821
319	0.1227077821
320	0.1223557317
321	0.1221588082
322	0.1218135837
323	0.121434034
324	0.1210150629
325	0.1207128882
326	0.1204478722
327	0.120199981
328	0.1196891164
329	0.1195073315
330	0.1191403528
331	0.1185479308
332	0.1179372009
333	0.1177852839
334	0.1176354562
335	0.1174926721
336	0.117129501
337	0.116785703
338	0.1163036961
339	0.1157668687
340	0.1153817491
341	0.1151813159
342	0.1148757109
343	0.1142115274
344	0.1138852381
345	0.1137208691
346	0.1134212653
347	0.1129805347
348	0.1127009327
349	0.1124069255
350	0.1122722538
351	0.1120073386
352	0.1118242022
353	0.1114276629
354	0.1111447946
355	0.1108514255
356	0.1103707637
357	0.1101316817
358	0.1096703375
359	0.1090173396
360	0.1085575483
361	0.1081711216
362	0.1077808281
363	0.107464217
364	0.1071889815
365	0.1069439305
366	0.1066257201
367	0.1063487339
368	0.1059513018
369	0.1055954419
370	0.1051900982
371	0.1047194108
372	0.1042676074
373	0.1039560304
374	0.1033576638
375	0.1028982955
376	0.1025294732
377	0.1022864192
378	0.1020584679
379	0.101799564
380	0.1015537305
381	0.1013610048
382	0.1009115523
383	0.1005855665
384	0.1002319987
385	0.09998592439
386	0.09967270261
387	0.09949386386
388	0.09904967849
389	0.09869747754
390	0.09829562116
391	0.09805984873
392	0.09782865362
393	0.09757403302
394	0.09717912393
395	0.09641836612
396	0.0959285465
397	0.09551499157
398	0.09519168566
399	0.09471926855
400	0.0942912557
401	0.09418507716
402	0.09384975261
403	0.09354450529
404	0.09312203467
405	0.09285835963
406	0.09262175922
407	0.09247361142
408	0.09230909961
409	0.09191938818
410	0.09174915614
411	0.0912367132
412	0.09103420946
413	0.09057347946
414	0.09023656202
415	0.08986936267
416	0.08960001072
417	0.08917956145
418	0.0889254747
419	0.08860032862
420	0.08836134874
421	0.08807298752
422	0.08771570028
423	0.08734933408
424	0.08707213768
425	0.08668029698
426	0.08636869564
427	0.08609794503
428	0.08582767039
429	0.08566512355
430	0.08545646984
431	0.08511409757
432	0.08501737586
433	0.08475540947
434	0.08456813339
435	0.08428033967
436	0.08402285739
437	0.08353585083
438	0.08328601101
439	0.0828304449
440	0.08240398482
441	0.08228381218
442	0.08211040722
443	0.08170663373
444	0.08150638165
445	0.08138754568
446	0.08094483581
447	0.0808423961
448	0.08060600159
449	0.08041088983
450	0.0802421998
451	0.07990189281
452	0.07974643243
453	0.0795234249
454	0.07932683764
455	0.0792229443
456	0.07913660256
457	0.07895412257
458	0.07864920759
459	0.07814296459
460	0.07793477574
461	0.07771007412
462	0.07758920034
463	0.07736730025
464	0.07711634247
465	0.0770646837
466	0.07691905363
467	0.07655498373
468	0.07625065037
469	0.07605233178
470	0.07559602445
471	0.07552242812
472	0.07530742391
473	0.07523284332
474	0.07501884725
475	0.07492990909
476	0.07466273407
477	0.0745309164
478	0.07427578539
479	0.07411509921
480	0.07390944901
481	0.07371070084
482	0.07355892456
483	0.07336789466
484	0.07311314365
485	0.07292350486
486	0.07256157683
487	0.07216378945
488	0.07196309818
489	0.07165460545
490	0.07159163787
491	0.07137103553
492	0.07105321969
493	0.07091064151
494	0.07075652421
495	0.07064745022
496	0.07052752149
497	0.07033357394
498	0.07027036759
499	0.07011682429
500	0.06999787596
501	0.06971350784
502	0.069422361
503	0.06940901071
504	0.06931558756
505	0.06900472527
506	0.06872912673
507	0.06849813887
508	0.06834911504
509	0.06801701735
510	0.0678181179
511	0.06755199773
512	0.06743016676
513	0.06741565785
514	0.06716613524
515	0.06701134691
516	0.06677466726
517	0.06642497611
518	0.06618026006
519	0.06588108924
520	0.06576041537
521	0.06539670282
522	0.06517099411
523	0.06495727787
524	0.0648715182
525	0.06471173365
526	0.06455212331
527	0.06443115554
528	0.06425369728
529	0.06409216915
530	0.06378937063
531	0.06356970905
532	0.06342733851
533	0.06322852034
534	0.06305787591
535	0.06281405502
536	0.06254584861
537	0.06233917181
538	0.0621943834
539	0.06210996043
540	0.06188845148
541	0.06168535609
542	0.06160244239
543	0.06144410186
544	0.0610973062
545	0.06093351295
546	0.06083238455
547	0.06063442716
548	0.06055604955
549	0.0604805715
550	0.06034407115
551	0.06019774617
552	0.05997437623
553	0.05984951694
554	0.05970580752
555	0.05947227184
556	0.05946182016
557	0.0592825999
558	0.05919346914
559	0.05908912702
560	0.05877936567
561	0.05871631999
562	0.05846064688
563	0.0581894153
564	0.05798278186
565	0.05787956691
566	0.05761485722
567	0.05741843607
568	0.05724579948
569	0.05703154201
570	0.05699018018
571	0.05676138108
572	0.05662038068
573	0.0563921187
574	0.05610256675
575	0.05593971059
576	0.05558036141
577	0.05536649592
578	0.05508266695
579	0.05479867127
580	0.0546355786
581	0.05440558967
582	0.05416712419
583	0.05397481673
584	0.05381272583
585	0.05366580091
586	0.05351036893
587	0.05324392825
588	0.053237401
589	0.05301659927
590	0.05293837101
591	0.05286443861
592	0.05255065342
593	0.05246321144
594	0.05236276983
595	0.05234858082
596	0.05221207474
597	0.05207015906
598	0.05190556731
599	0.05177918549
600	0.05156981448
601	0.05153894867
602	0.05151443312
